Adams          Douglas        424-242-4242
Alighieri      Dante          999-999-1295
Bradbury       Ray            451-451-0000
Christie       Agatha         987-654-3210
Curie          Marie          088-000-1903
Gershwin       George         444-433-3344
Kennedy        John           001-020-1961
Kennedy        Robert         001-003-1965
Lightyear      Buzz           100-000-0000
Orwell         George         000-101-1984
Ramanujan      Srinivasa      111-111-1729
Schoenberg     Arnold         121-212-1212
Sotomayor      Sonia          123-455-4321
